bathrooms,description,floor,location1,location2,price,price_m2,rooms,size,location,position
1.0,"Coslada junto al recinto ferial. Vivienda de 78 m²., consta de dos dormitorios con a/e. (dormitorio principal co...",4ª,Recinto Ferial,Casco Antiguo (Coslada),226.000,2.897,2.0,78,"Recinto Ferial, Casco Antiguo (Coslada)","{'lat': 40.43040939999999, 'lng': -3.5578887}"
1.0,"Bajos de 2 dormitorios 50m2,  totalmente reformados, amueblados con un diseño muy moderno a un precio muy accesi...",0,"calle Isletas, nº 1",Zona Estación (Coslada),98.500,1.790,2.0,55,"calle Isletas, nº 1, Zona Estación (Coslada)","{'lat': 40.4260459, 'lng': -3.5651646}"
1.0,"Características del edificio:

- Construido en 1965, fachada enfoscada, edificio rehabilitado con la inspección ...",,"calle Mazo, nº 6",Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),129.000,1.842,3.0,70,"calle Mazo, nº 6, Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital)","{'lat': 40.43073589999999, 'lng': -3.6350217}"
1.0,REF: 12130 Vivienda exterior localizada en una de las mejores zonas de Vallecas de 70 metros cuadrados en e...,,Vallecas,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),220.000,3.098,3.0,71,"Vallecas, Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital)","{'lat': 40.384267, 'lng': -3.6630031}"
1.0,"Excelente piso reformado en venta, de dos dormitorios, con salón amplio, cuarto de baño con plato de ducha y mam...",0,calle Gomez Acebo,San Andrés (Distrito Villaverde. Madrid Capital),148.000,2.144,2.0,69,"calle Gomez Acebo, San Andrés (Distrito Villaverde. Madrid Capital)","{'lat': 40.3430374, 'lng': -3.7089705}"
1.0,"Tercera planta exterior con ascensor de 87 m2, ubicado a 50 metros del Polideportivo Arganzuela!

Inmueble en te...",,calle Canarias,Palos de Moguer (Distrito Arganzuela. Madrid Capital),300.000,3.448,3.0,87,"calle Canarias, Palos de Moguer (Distrito Arganzuela. Madrid Capital)","{'lat': 40.4018264, 'lng': -3.6923389}"
1.0,"Se vende piso en zona de calle Málaga, 85 metros tres dormitorios,un baño ,terraza, muy bien comunicado próximo ...",,Fuenlabrada - Centro,Avanzada-La Cueva (Fuenlabrada),134.000,1.576,3.0,85,"Fuenlabrada - Centro, Avanzada-La Cueva (Fuenlabrada)","{'lat': 40.2930236, 'lng': -3.7857758}"
2.0,"INMOLINE, 91 616 32 20 y whatsapp 673 125 727: Magnifico piso en Sanchinarro de ciento diez metros cuadrados.  D...",,calle Alcalde Henche de La Plata,Sanchinarro (Distrito Hortaleza. Madrid Capital),450.000,4.090,3.0,110,"calle Alcalde Henche de La Plata, Sanchinarro (Distrito Hortaleza. Madrid Capital)","{'lat': 40.48866599999999, 'lng': -3.649591199999999}"
2.0,"SITUACION:

La vivienda se encuentra en la localidad de Algete, en una zona caracterizada por la cercanía a cole...",,calle Magnolias,Algete,166.990,2.036,2.0,82,"calle Magnolias, Algete","{'lat': 40.5985993, 'lng': -3.5000946}"
1.0,"Vivienda en barrio de Lavapies. Ideal como inversión y posteriormente alquilar. 
Tiene 32, 75 metros cuadrados, ...",0,calle Mesón de Paredes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),140.000,4.000,2.0,35,"calle Mesón de Paredes, Embajadores-Lavapiés (Distrito Centro. Madrid Capital)","{'lat': 40.4087204, 'lng': -3.7033913}"
